action_1_type_1_1 Using_a_Dry_Measuring_Cup
action_1_type_1_2 Using_a_Non-Transparent_Container
action_1_type_1_3 Measuring_from_the_Top_View
action_1_type_1_4 Using_an_Overfilled_Cup_and_Pouring_Out_Excess
action_1_type_1_5 Measuring_in_a_Graduated_Cylinder
action_1_type_1_6 Using_a_Weighing_Scale
action_1_type_1_7 Using_a_Bottle_with_Markings
action_1_type_1_8 Scooping_Water_Instead_of_Pouring
action_1_type_1_9 Filling_with_Ice_and_Water_Instead_of_Just_Water
action_1_type_1_10 Using_a_Large_Container_with_Markings
action_2_type_1_1 Pouring_with_the_Wrong_Hand_
action_2_type_1_2 Tilting_the_Measuring_Cup_Too_Slowly_or_Quickly_
action_2_type_1_3 Using_a_Spoon_to_Transfer_Water
action_2_type_1_4 Using_a_Funnel_Unnecessarily
action_2_type_1_5 Transferring_Water_with_a_Straw
action_2_type_1_6 Using_a_Different_Container_as_an_Intermediary
action_2_type_1_7 Pouring_from_the_Side_Without_a_Spout
action_2_type_1_8 Holding_the_Measuring_Cup_at_an_Awkward_Angle
action_2_type_1_9 Using_a_Spoon_to_Guide_the_Pour
action_2_type_1_10 Transferring_Water_in_Multiple_Small_Pours
action_3_type_1_1 Using_Tongs_Instead_of_Your_Hands
action_3_type_1_2 Dropping_the_Tea_Bag_from_a_Height
action_3_type_1_3 Placing_the_Tea_Bag_with_a_Spoon
action_3_type_1_4 Holding_the_String_Instead_of_the_Bag
action_3_type_1_5 Flipping_the_Mug_Upside_Down_First
action_3_type_1_6 Using_Gloves_or_a_Napkin
action_3_type_1_7 Placing_the_Bag_with_the_String_Inside_the_Mug
action_3_type_1_8 Shaking_the_Tea_Bag_First
action_3_type_1_9 Using_a_Different_Mug_First
action_3_type_1_10 Placing_the_Tea_Bag_Upside_Down
action_4_type_1_1 Using_a_Cooking_Thermometer_Instead_of_a_Kettle_Thermometer
action_4_type_1_2 Touching_the_Outside_of_the_Kettle_Instead_of_Checking_Inside
action_4_type_1_3 Estimating_by_Steam_Instead_of_Using_a_Thermometer
action_4_type_1_4 Dipping_a_Spoon_into_the_Water
action_4_type_1_5 Using_a_Digital_Probe_Thermometer_Meant_for_Meat
action_4_type_1_6 Listening_for_Boiling_Sounds_Instead_of_Looking_Inside
action_4_type_1_7 Checking_by_Seeing_If_the_Water_Moves
action_4_type_1_8 Blowing_on_the_Water_to_Observe_Ripples
action_4_type_1_9 Using_Your_Finger_(Quickly)
action_4_type_1_10 Guessing_Based_on_the_Time_It’s_Been_Heating
action_5_type_1_1 Pouring_with_the_Lid_Slightly_Open
action_5_type_1_2 Using_a_Ladle_Instead_of_Pouring_Directly
action_5_type_1_3 Holding_the_Kettle_with_Both_Hands
action_5_type_1_4 Tilting_the_Kettle_Too_Slowly_or_Quickly
action_5_type_1_5 Pouring_from_the_Wrong_Side_of_a_Spoutless_Kettle
action_5_type_1_6 Lifting_the_Kettle_Higher_Than_Necessary
action_5_type_1_7 Pouring_with_the_Wrong_Hand
action_5_type_1_8 Using_a_Funnel_Unnecessarily
action_5_type_1_9 Pouring_in_Multiple_Small_Increments
action_5_type_1_10 Tilting_the_Kettle_Without_Checking_the_Mug’s_Position
action_6_type_1_1 Using_a_Fork_to_Press_the_Tea_Bag_Down
action_6_type_1_2 Rotating_the_Mug_Instead_of_Moving_the_Tea_Bag
action_6_type_1_3 Placing_a_Lid_Over_the_Mug_While_Steeping
action_6_type_1_4 Using_Chopsticks_to_Hold_the_Tea_Bag
action_6_type_1_5 Tilting_the_Mug_While_Steeping
action_6_type_1_6 Shaking_the_Mug_Slightly_Instead_of_Stirring
action_6_type_1_7 Using_a_Timer_for_a_Few_Seconds_Instead_of_Estimating
action_7_type_1_1 Using_a_Spoon_to_Scoop_the_Tea_Bag_Out
action_7_type_1_2 Carrying_the_Tea_Bag_with_a_Napkin
action_7_type_1_3 Dropping_the_Tea_Bag_Into_Your_Hand_First
action_7_type_1_4 Swinging_the_String_Before_Tossing
action_7_type_1_5 Walking_Closer_to_the_Trash_Can_Instead_of_Throwing_It_from_a_Distance
action_7_type_1_6 Placing_the_Tea_Bag_on_the_Counter_First
action_7_type_1_7 Squeezing_Out_Excess_Water_Before_Throwing
action_7_type_1_8 Using_Tongs_to_Grab_the_Tea_Bag
action_7_type_1_9 Throwing_It_Away_with_Another_Piece_of_Trash
action_7_type_1_10 Tilting_the_Mug_to_Let_the_Tea_Bag_Fall_Out
action_8_type_1_1 Pouring_Directly_from_the_Honey_Jar_Without_Measuring
action_8_type_1_2 Using_a_Butter_Knife_to_Scoop_the_Honey
action_8_type_1_3 Drizzling_Honey_from_a_High_Distance
action_8_type_1_4 Letting_the_Honey_Drip_Slowly_from_the_Spoon_
action_8_type_1_5 Adding_Honey_to_a_Cold_Spoon_First
action_8_type_1_6 Dipping_the_Honey_Jar_Lid_into_the_Tea
action_8_type_1_7 Tilting_the_Mug_Slightly_While_Adding_Honey
action_8_type_1_8 Spreading_the_Honey_on_the_Rim_First_Before_Letting_It_Drip_in
action_9_type_1_1 Using_a_Fork_Instead_of_a_Spoon
action_9_type_1_2 Using_a_Knife_to_Stir
action_9_type_1_3 Holding_the_Spoon_by_the_Bowl_Instead_of_the_Handle
action_9_type_1_4 Spinning_the_Mug_Instead_of_Moving_the_Spoon
action_9_type_1_5 Using_a_Chopstick_Instead_of_a_Spoon
action_9_type_1_6 Tapping_the_Spoon_Against_the_Mug_Instead_of_Stirring
action_9_type_1_7 Stirring_Too_Vigorously
action_9_type_1_8 Stirring_in_a_Zigzag_Pattern_Instead_of_Circular_Motions
action_9_type_1_9 Using_a_Measuring_Spoon_Instead_of_a_Regular_Spoon
action_9_type_1_10 Lifting_the_Spoon_Out_Between_Each_Stir
Action_10_type_1_1 Holding_the_mug_by_its_rim_instead_of_the_handle,_despite_the_tea_inside.
Action_10_type_1_2 Holding_the_mug_with_both_hands_cupping_the_sides_instead_of_gripping_the_handle.
Action_10_type_1_3 Holding_the_mug_using_a_thick_oven_mitt,_making_it_harder_to_control.
Action_10_type_1_4 Holding_the_mug_by_pinching_the_handle_with_two_fingers_instead_of_a_full_grip.
Action_10_type_1_5 Holding_the_mug_with_a_pair_of_pliers_clamped_onto_the_handle.
Action_10_type_1_6 Holding_the_mug_by_balancing_it_on_a_small_plate_instead_of_gripping_it_directly.
Action_10_type_1_7 Holding_the_mug_with_a_spoon_hooked_through_the_handle_instead_of_your_fingers.
Action_10_type_1_8 Holding_the_mug_inside_a_larger_bowl_for_extra_support_instead_of_gripping_it_normally.
Action_10_type_1_9 Holding_the_mug_by_its_base_with_fingertips_instead_of_using_the_handle.
Action_10_type_1_10 Holding_the_mug_while_it’s_wrapped_in_a_towel_instead_of_touching_it_directly.
action_1_type_2_1 You_accidentally_fill_the_measuring_cup_with_more_than_12_ounces_of_water.
action_1_type_3_1 Pour_out_the_excess_water_until_the_measurement_reaches_exactly_12_ounces.
action_1_type_2_2 You_accidentally_spill_some_water_while_filling_the_cup.
action_1_type_3_2 Carefully_refill_the_cup_and_wipe_up_any_spilled_water_before_continuing.
action_1_type_2_3 You_mistakenly_use_a_dry_measuring_cup_instead_of_a_liquid_one.
action_1_type_3_3 Pour_the_water_into_a_liquid_measuring_cup_with_clear_ounce_markings.
action_1_type_2_4 You_misread_the_measurement_markings_and_overestimate_the_water_amount.
action_1_type_3_4 Reposition_the_cup_on_a_flat_surface_and_read_the_water_level_at_eye_level.
action_1_type_2_5 You_fill_the_measuring_cup_with_warm_or_hot_water_instead_of_cold_water.
action_1_type_3_5 Discard_the_warm_water_and_measure_again_using_cold_water.
action_1_type_2_6 You_spill_water_on_the_counter_while_pouring_it_into_the_measuring_cup.
action_1_type_3_6 Wipe_up_the_spilled_water_and_refill_the_measuring_cup_to_the_correct_amount.
action_1_type_2_7 You_accidentally_measure_in_milliliters_or_cups_instead_of_ounces.
action_1_type_3_7 Convert_the_units_correctly_or_start_over_using_the_correct_ounce_measurements.
action_1_type_2_8 You_fill_the_measuring_cup_too_quickly,_causing_the_water_to_slosh_out.
action_1_type_3_8 Pour_slowly_and_carefully_to_avoid_spillage,_and_check_the_measurement_again.
action_1_type_2_9 An_object,_like_a_spoon_or_lid,_accidentally_falls_into_the_measuring_cup.
action_1_type_3_9 Remove_the_object,_check_the_water_level_again,_and_remeasure_if_needed.
action_2_type_2_1 You_spill_some_water_while_transferring_from_the_measuring_cup_to_the_kettle.
action_2_type_3_1 Wipe_up_the_spilled_water_and_carefully_pour_the_remaining_water_into_the_kettle_without_spilling.
action_2_type_2_2 You_accidentally_tilt_the_measuring_cup_too_much,_causing_the_water_to_overflow.
action_2_type_3_2 Refill_the_measuring_cup_to_the_correct_level_and_pour_more_slowly_to_avoid_spillage.
action_2_type_2_3 You_place_the_kettle_in_an_awkward_position,_making_it_difficult_to_pour_from_the_measuring_cup.
action_2_type_3_3 Move_the_kettle_to_a_more_accessible_position_and_continue_transferring_the_water_carefully.
