BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
