Action_1 Place_tortilla_on_cutting_board
Action_2 Use_knife_to_scoop_peanut_butter
Action_3 Spread_peanut_butter_onto_tortilla
Action_4 Clean_knife_after_spreading_peanut_butter_using_paper_towel
Action_5 Use_knife_to_scoop_jelly
Action_6 Spread_jelly_onto_peanut_butter_on_tortilla
Action_7 Roll_tortilla_on_cutting_board
Action_8 Insert_5_toothpicks_on_rolled_tortilla_with_equal_distance_between_each_other
Action_9 Trim_right_and_left_end_of_rolled_tortilla
Action_10 Discard_two_ends_trimmed_from_rolled_tortilla
Action_11 Slice_rolled_tortilla_using_dental_floss_to_get_5_pinwheels
Action_12 Clean_knife_after_spreading_jelly_using_paper_towel
Action_13 Place_5_tortilla_pinwheels_on_plate
