|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    -1    |     42.4      |     61.0      |   50.0   |
|    6     |     42.9      |     100.0     |   60.0   |
|    0     |     65.7      |     31.5      |   42.6   |
|    10    |     71.4      |     100.0     |   83.3   |
|    1     |     50.0      |     100.0     |   66.7   |
|    2     |     14.3      |     100.0     |   25.0   |
|    11    |     42.9      |     100.0     |   60.0   |
|    9     |     50.0      |     75.0      |   60.0   |
|    3     |     16.7      |     50.0      |   25.0   |
|    5     |     50.0      |     33.3      |   40.0   |
|    8     |     60.0      |     50.0      |   54.5   |
|    4     |      0.0      |      0.0      |   0.0    |
|    7     |     50.0      |     75.0      |   60.0   |


Avg F1@0.000: 48.2

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    -1    |     33.9      |     51.3      |   40.8   |
|    6     |     42.9      |     100.0     |   60.0   |
|    0     |     65.7      |     30.7      |   41.8   |
|    10    |     71.4      |     100.0     |   83.3   |
|    1     |     50.0      |     100.0     |   66.7   |
|    2     |     14.3      |     100.0     |   25.0   |
|    11    |     42.9      |     100.0     |   60.0   |
|    9     |     50.0      |     75.0      |   60.0   |
|    3     |     16.7      |     50.0      |   25.0   |
|    5     |     50.0      |     33.3      |   40.0   |
|    8     |     60.0      |     50.0      |   54.5   |
|    4     |      0.0      |      0.0      |   0.0    |
|    7     |     50.0      |     75.0      |   60.0   |


Avg F1@0.010: 47.5

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    -1    |     27.1      |     41.0      |   32.7   |
|    6     |     42.9      |     100.0     |   60.0   |
|    0     |     42.9      |     20.0      |   27.3   |
|    10    |     57.1      |     80.0      |   66.7   |
|    1     |     50.0      |     100.0     |   66.7   |
|    2     |     14.3      |     100.0     |   25.0   |
|    11    |     42.9      |     100.0     |   60.0   |
|    9     |     50.0      |     75.0      |   60.0   |
|    3     |     16.7      |     50.0      |   25.0   |
|    5     |     50.0      |     33.3      |   40.0   |
|    8     |     40.0      |     33.3      |   36.4   |
|    4     |      0.0      |      0.0      |   0.0    |
|    7     |     50.0      |     75.0      |   60.0   |


Avg F1@0.100: 43.0

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    -1    |     16.9      |     25.6      |   20.4   |
|    6     |     42.9      |     100.0     |   60.0   |
|    0     |     40.0      |     18.7      |   25.5   |
|    10    |     57.1      |     80.0      |   66.7   |
|    1     |     50.0      |     100.0     |   66.7   |
|    2     |     14.3      |     100.0     |   25.0   |
|    11    |     42.9      |     100.0     |   60.0   |
|    9     |     50.0      |     75.0      |   60.0   |
|    3     |     16.7      |     50.0      |   25.0   |
|    5     |     50.0      |     33.3      |   40.0   |
|    8     |     40.0      |     33.3      |   36.4   |
|    4     |      0.0      |      0.0      |   0.0    |
|    7     |     50.0      |     75.0      |   60.0   |


Avg F1@0.250: 42.0

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    -1    |     10.2      |     15.4      |   12.2   |
|    6     |     42.9      |     100.0     |   60.0   |
|    0     |     31.4      |     14.7      |   20.0   |
|    10    |     42.9      |     60.0      |   50.0   |
|    1     |     50.0      |     100.0     |   66.7   |
|    2     |     14.3      |     100.0     |   25.0   |
|    11    |     28.6      |     66.7      |   40.0   |
|    9     |     33.3      |     50.0      |   40.0   |
|    3     |     16.7      |     50.0      |   25.0   |
|    5     |     50.0      |     33.3      |   40.0   |
|    8     |     40.0      |     33.3      |   36.4   |
|    4     |      0.0      |      0.0      |   0.0    |
|    7     |     50.0      |     75.0      |   60.0   |


Avg F1@0.500: 36.6



|Edit:41.3|Acc:34.0|
