|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    -1    |     28.7      |     84.6      |   42.9   |
|    14    |     42.9      |     75.0      |   54.5   |
|    0     |     90.2      |     46.9      |   61.7   |
|    10    |     100.0     |     83.3      |   90.9   |
|    3     |     75.0      |     60.0      |   66.7   |
|    6     |     66.7      |     66.7      |   66.7   |
|    5     |     33.3      |     100.0     |   50.0   |
|    13    |     75.0      |     50.0      |   60.0   |
|    11    |     50.0      |     28.6      |   36.4   |
|    15    |     50.0      |     50.0      |   50.0   |
|    4     |     28.6      |     100.0     |   44.4   |
|    7     |     16.7      |     33.3      |   22.2   |
|    12    |     33.3      |     25.0      |   28.6   |
|    1     |     83.3      |     100.0     |   90.9   |
|    2     |     42.9      |     100.0     |   60.0   |
|    8     |      0.0      |      0.0      |   0.0    |
|    9     |     100.0     |     50.0      |   66.7   |


Avg F1@0.000: 52.5

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    -1    |     20.0      |     65.7      |   30.7   |
|    14    |     42.9      |     75.0      |   54.5   |
|    0     |     90.2      |     45.5      |   60.5   |
|    10    |     100.0     |     83.3      |   90.9   |
|    3     |     75.0      |     60.0      |   66.7   |
|    6     |     66.7      |     50.0      |   57.1   |
|    5     |     33.3      |     100.0     |   50.0   |
|    13    |     75.0      |     50.0      |   60.0   |
|    11    |     50.0      |     28.6      |   36.4   |
|    15    |     50.0      |     50.0      |   50.0   |
|    4     |     28.6      |     100.0     |   44.4   |
|    7     |     16.7      |     33.3      |   22.2   |
|    12    |     33.3      |     25.0      |   28.6   |
|    1     |     83.3      |     100.0     |   90.9   |
|    2     |     42.9      |     100.0     |   60.0   |
|    8     |      0.0      |      0.0      |   0.0    |
|    9     |     100.0     |     50.0      |   66.7   |


Avg F1@0.010: 51.2

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    -1    |     12.2      |     40.0      |   18.7   |
|    14    |     42.9      |     75.0      |   54.5   |
|    0     |     88.2      |     44.6      |   59.2   |
|    10    |     100.0     |     83.3      |   90.9   |
|    3     |     75.0      |     60.0      |   66.7   |
|    6     |     66.7      |     50.0      |   57.1   |
|    5     |     33.3      |     100.0     |   50.0   |
|    13    |     75.0      |     50.0      |   60.0   |
|    11    |     50.0      |     28.6      |   36.4   |
|    15    |     50.0      |     50.0      |   50.0   |
|    4     |     28.6      |     100.0     |   44.4   |
|    7     |     16.7      |     33.3      |   22.2   |
|    12    |     33.3      |     25.0      |   28.6   |
|    1     |     83.3      |     100.0     |   90.9   |
|    2     |     42.9      |     100.0     |   60.0   |
|    8     |      0.0      |      0.0      |   0.0    |
|    9     |     100.0     |     50.0      |   66.7   |


Avg F1@0.100: 50.4

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    -1    |     10.4      |     34.3      |   16.0   |
|    14    |     42.9      |     75.0      |   54.5   |
|    0     |     74.5      |     37.6      |   50.0   |
|    10    |     100.0     |     83.3      |   90.9   |
|    3     |     75.0      |     60.0      |   66.7   |
|    6     |     66.7      |     50.0      |   57.1   |
|    5     |     33.3      |     100.0     |   50.0   |
|    13    |     50.0      |     33.3      |   40.0   |
|    11    |     25.0      |     14.3      |   18.2   |
|    15    |     50.0      |     50.0      |   50.0   |
|    4     |     28.6      |     100.0     |   44.4   |
|    7     |      0.0      |      0.0      |   0.0    |
|    12    |     33.3      |     25.0      |   28.6   |
|    1     |     83.3      |     100.0     |   90.9   |
|    2     |     42.9      |     100.0     |   60.0   |
|    8     |      0.0      |      0.0      |   0.0    |
|    9     |     100.0     |     50.0      |   66.7   |


Avg F1@0.250: 46.1

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    -1    |      5.2      |     17.1      |   8.0    |
|    14    |     42.9      |     75.0      |   54.5   |
|    0     |     45.1      |     22.8      |   30.3   |
|    10    |     100.0     |     83.3      |   90.9   |
|    3     |     50.0      |     40.0      |   44.4   |
|    6     |     66.7      |     50.0      |   57.1   |
|    5     |     16.7      |     50.0      |   25.0   |
|    13    |     25.0      |     16.7      |   20.0   |
|    11    |      0.0      |      0.0      |   0.0    |
|    15    |     50.0      |     50.0      |   50.0   |
|    4     |     28.6      |     100.0     |   44.4   |
|    7     |      0.0      |      0.0      |   0.0    |
|    12    |     33.3      |     25.0      |   28.6   |
|    1     |     16.7      |     20.0      |   18.2   |
|    2     |     42.9      |     100.0     |   60.0   |
|    8     |      0.0      |      0.0      |   0.0    |
|    9     |      0.0      |      0.0      |   0.0    |


Avg F1@0.500: 31.3



|Edit:42.9|Acc:33.6|
