|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    0     |     89.5      |     56.9      |   69.6   |
|    -1    |      8.4      |     73.6      |   15.1   |
|    6     |     82.9      |     85.3      |   84.1   |
|    7     |     96.8      |     81.1      |   88.2   |
|    8     |     86.5      |     86.5      |   86.5   |
|    5     |     78.3      |     47.4      |   59.0   |
|    1     |     94.6      |     92.1      |   93.3   |
|    2     |     97.3      |     97.3      |   97.3   |
|    9     |     89.5      |     79.1      |   84.0   |
|    10    |     92.1      |     89.7      |   90.9   |
|    11    |     89.5      |     87.2      |   88.3   |
|    12    |     88.6      |     86.1      |   87.3   |
|    13    |     97.3      |     63.2      |   76.6   |
|    14    |     86.5      |     91.4      |   88.9   |
|    15    |     80.6      |     35.4      |   49.2   |
|    3     |     66.7      |     100.0     |   80.0   |
|    4     |     100.0     |     97.2      |   98.6   |


Avg F1@0.000: 78.6

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    0     |     89.8      |     56.8      |   69.6   |
|    -1    |      7.8      |     71.0      |   14.0   |
|    6     |     82.9      |     85.3      |   84.1   |
|    7     |     96.8      |     81.1      |   88.2   |
|    8     |     86.5      |     86.5      |   86.5   |
|    5     |     78.3      |     47.4      |   59.0   |
|    1     |     94.6      |     92.1      |   93.3   |
|    2     |     94.6      |     94.6      |   94.6   |
|    9     |     89.5      |     79.1      |   84.0   |
|    10    |     92.1      |     89.7      |   90.9   |
|    11    |     89.5      |     87.2      |   88.3   |
|    12    |     88.6      |     86.1      |   87.3   |
|    13    |     97.3      |     63.2      |   76.6   |
|    14    |     86.5      |     91.4      |   88.9   |
|    15    |     80.6      |     35.4      |   49.2   |
|    3     |     66.7      |     100.0     |   80.0   |
|    4     |     100.0     |     97.2      |   98.6   |


Avg F1@0.010: 78.4

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    0     |     86.5      |     54.7      |   67.0   |
|    -1    |      3.3      |     30.4      |   6.0    |
|    6     |     82.9      |     85.3      |   84.1   |
|    7     |     96.8      |     81.1      |   88.2   |
|    8     |     83.8      |     83.8      |   83.8   |
|    5     |     78.3      |     47.4      |   59.0   |
|    1     |     94.6      |     92.1      |   93.3   |
|    2     |     94.6      |     94.6      |   94.6   |
|    9     |     89.5      |     79.1      |   84.0   |
|    10    |     92.1      |     89.7      |   90.9   |
|    11    |     89.5      |     87.2      |   88.3   |
|    12    |     88.6      |     86.1      |   87.3   |
|    13    |     97.3      |     63.2      |   76.6   |
|    14    |     81.1      |     85.7      |   83.3   |
|    15    |     77.8      |     34.1      |   47.5   |
|    3     |     66.7      |     100.0     |   80.0   |
|    4     |     100.0     |     97.2      |   98.6   |


Avg F1@0.100: 77.2

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    0     |     76.7      |     48.5      |   59.4   |
|    -1    |      1.3      |     11.6      |   2.3    |
|    6     |     82.9      |     85.3      |   84.1   |
|    7     |     90.3      |     75.7      |   82.4   |
|    8     |     81.1      |     81.1      |   81.1   |
|    5     |     69.6      |     42.1      |   52.5   |
|    1     |     94.6      |     92.1      |   93.3   |
|    2     |     94.6      |     94.6      |   94.6   |
|    9     |     89.5      |     79.1      |   84.0   |
|    10    |     86.8      |     84.6      |   85.7   |
|    11    |     89.5      |     87.2      |   88.3   |
|    12    |     85.7      |     83.3      |   84.5   |
|    13    |     94.6      |     61.4      |   74.5   |
|    14    |     81.1      |     85.7      |   83.3   |
|    15    |     55.6      |     24.4      |   33.9   |
|    3     |     66.7      |     100.0     |   80.0   |
|    4     |     100.0     |     97.2      |   98.6   |


Avg F1@0.250: 74.3

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    0     |     57.1      |     36.1      |   44.2   |
|    -1    |      0.6      |      5.8      |   1.1    |
|    6     |     77.1      |     79.4      |   78.3   |
|    7     |     77.4      |     64.9      |   70.6   |
|    8     |     75.7      |     75.7      |   75.7   |
|    5     |     56.5      |     34.2      |   42.6   |
|    1     |     83.8      |     81.6      |   82.7   |
|    2     |     91.9      |     91.9      |   91.9   |
|    9     |     86.8      |     76.7      |   81.5   |
|    10    |     76.3      |     74.4      |   75.3   |
|    11    |     81.6      |     79.5      |   80.5   |
|    12    |     71.4      |     69.4      |   70.4   |
|    13    |     73.0      |     47.4      |   57.4   |
|    14    |     51.4      |     54.3      |   52.8   |
|    15    |     27.8      |     12.2      |   16.9   |
|    3     |     61.1      |     91.7      |   73.3   |
|    4     |     91.4      |     88.9      |   90.1   |


Avg F1@0.500: 63.9



|Edit:73.7|Acc:62.5|
