|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    -1    |     26.3      |     91.1      |   40.9   |
|    1     |     73.0      |     90.0      |   80.6   |
|    0     |     94.9      |     26.4      |   41.3   |
|    2     |     58.8      |     100.0     |   74.1   |
|    3     |     59.4      |     100.0     |   74.5   |
|    5     |     64.3      |     85.7      |   73.5   |
|    6     |     55.6      |     75.0      |   63.8   |
|    7     |     65.7      |     74.2      |   69.7   |
|    8     |     79.1      |     100.0     |   88.3   |
|    11    |     65.1      |     100.0     |   78.9   |
|    13    |     100.0     |     97.8      |   98.9   |
|    4     |     64.3      |     60.0      |   62.1   |
|    9     |     87.5      |     96.6      |   91.8   |
|    12    |     50.0      |     20.0      |   28.6   |
|    10    |     100.0     |     86.2      |   92.6   |


Avg F1@0.000: 70.6

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    -1    |     24.6      |     87.9      |   38.4   |
|    1     |     29.7      |     78.6      |   43.1   |
|    0     |     96.6      |     25.4      |   40.3   |
|    2     |     55.9      |     100.0     |   71.7   |
|    3     |     59.4      |     100.0     |   74.5   |
|    5     |     60.7      |     85.0      |   70.8   |
|    6     |     55.6      |     75.0      |   63.8   |
|    7     |     65.7      |     74.2      |   69.7   |
|    8     |     79.1      |     100.0     |   88.3   |
|    11    |     65.1      |     100.0     |   78.9   |
|    13    |     100.0     |     97.8      |   98.9   |
|    4     |     64.3      |     60.0      |   62.1   |
|    9     |     87.5      |     96.6      |   91.8   |
|    12    |     50.0      |     20.0      |   28.6   |
|    10    |     100.0     |     86.2      |   92.6   |


Avg F1@0.010: 67.6

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    -1    |     16.2      |     58.2      |   25.4   |
|    1     |     29.7      |     78.6      |   43.1   |
|    0     |     96.6      |     25.4      |   40.3   |
|    2     |     55.9      |     100.0     |   71.7   |
|    3     |     59.4      |     100.0     |   74.5   |
|    5     |     60.7      |     85.0      |   70.8   |
|    6     |     55.6      |     75.0      |   63.8   |
|    7     |     65.7      |     74.2      |   69.7   |
|    8     |     79.1      |     100.0     |   88.3   |
|    11    |     65.1      |     100.0     |   78.9   |
|    13    |     100.0     |     97.8      |   98.9   |
|    4     |     64.3      |     60.0      |   62.1   |
|    9     |     87.5      |     96.6      |   91.8   |
|    12    |     50.0      |     20.0      |   28.6   |
|    10    |     100.0     |     86.2      |   92.6   |


Avg F1@0.100: 66.7

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    -1    |     11.5      |     41.1      |   18.0   |
|    1     |     29.7      |     78.6      |   43.1   |
|    0     |     91.5      |     24.1      |   38.2   |
|    2     |     55.9      |     100.0     |   71.7   |
|    3     |     59.4      |     100.0     |   74.5   |
|    5     |     60.7      |     85.0      |   70.8   |
|    6     |     55.6      |     75.0      |   63.8   |
|    7     |     65.7      |     74.2      |   69.7   |
|    8     |     76.7      |     97.1      |   85.7   |
|    11    |     65.1      |     100.0     |   78.9   |
|    13    |     100.0     |     97.8      |   98.9   |
|    4     |     64.3      |     60.0      |   62.1   |
|    9     |     87.5      |     96.6      |   91.8   |
|    12    |     50.0      |     20.0      |   28.6   |
|    10    |     100.0     |     86.2      |   92.6   |


Avg F1@0.250: 65.9

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    -1    |      5.7      |     20.6      |   9.0    |
|    1     |     29.7      |     78.6      |   43.1   |
|    0     |     70.3      |     18.5      |   29.3   |
|    2     |     55.9      |     100.0     |   71.7   |
|    3     |     59.4      |     100.0     |   74.5   |
|    5     |     53.6      |     75.0      |   62.5   |
|    6     |     55.6      |     75.0      |   63.8   |
|    7     |     65.7      |     74.2      |   69.7   |
|    8     |     72.1      |     91.2      |   80.5   |
|    11    |     65.1      |     100.0     |   78.9   |
|    13    |     97.7      |     95.6      |   96.6   |
|    4     |     60.7      |     56.7      |   58.6   |
|    9     |     84.4      |     93.1      |   88.5   |
|    12    |     40.0      |     16.0      |   22.9   |
|    10    |     76.0      |     65.5      |   70.4   |


Avg F1@0.500: 61.3



|Edit:60.9|Acc:58.4|
