Action_1 Whisk-Whisk_the_egg
Action_2 Microwave-Microwave_for_3_minutes,_stirring_in_between
Action_3 Add-Add_1/2_tbsp_sweet_and_sour_sauce_to_the_bowl
Action_4 Sprinkle-Sprinkle_1_tbsp_shredded_cheddar_cheese_on_top_of_the_egg
Action_5 Mix-Mix_the_contents_of_the_bowl_well
Action_6 add-Extract_and_add_contents_of_an_egg_to_a_microwave-safe_bowl
Action_7 Roll-Roll_the_tortilla_from_one_end_to_another_into_a_log_shape,_about_1.5_inches_thick._Roll_it_tight_enough_to_prevent_gaps_but_not_so_tight_that_the_filling_leaks
Action_8 Pour-Pour_egg_mixture_on_top_of_the_tortilla
Action_9 Add-Add_1_tbsp_salsa_to_the_bowl
Action_10 Place-Place_8_inch_tortilla_on_a_cutting_board
Action_11 Sprinkle-Sprinkle_oregano_in_the_bowl
