Action_1 Pour-Pour_1_egg_into_the_ramekin_cup
Action_2 Place_-Place_the_egg_from_the_cup_over_the_lettuce
Action_3 Coat_-Coat_a_6-oz._ramekin_cup_with_cooking_spray
Action_4 Microwave-Microwave_the_ramekin_cup_uncovered_on_high_for_30_seconds
Action_5 sprinkle_-sprinkle_1_tablespoon_of_cheese_on_cup
Action_6 Top_-Top_cup_with_1_tablespoon_of_salsa
Action_7 replace_-replace_the_top_of_the_English_muffin
Action_8 Microwave_-Continue_to_Microwave_for_15-30_more_seconds_or_until_the_egg_is_almost_set
Action_9 Line_-Line_the_bottom_piece_of_the_English_muffin_with_lettuce
Action_10 Microwave_-Microwave_just_until_cheese_melts,_about_10_seconds
Action_11 stir-stir_the_ramekin_cup
Action_12 Cut_-Cut_the_English_muffin_into_two_pieces_with_a_knife
