BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
Fill-Fill a microwave-safe mug with skimmed milk|Technique Error|Spill while filling the mug
