|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    0     |     69.5      |     48.2      |   56.9   |
|    8     |      0.0      |      0.0      |   0.0    |
|    -1    |     42.5      |     63.3      |   50.8   |
|    9     |     62.5      |     100.0     |   76.9   |
|    2     |      0.0      |      0.0      |   0.0    |
|    4     |     12.5      |     33.3      |   18.2   |
|    11    |     37.5      |     100.0     |   54.5   |
|    7     |     28.6      |     66.7      |   40.0   |
|    10    |     66.7      |     80.0      |   72.7   |
|    6     |     50.0      |     75.0      |   60.0   |
|    1     |      0.0      |      0.0      |   0.0    |
|    3     |      0.0      |      0.0      |   0.0    |
|    5     |      0.0      |      0.0      |   0.0    |


Avg F1@0.000: 33.1

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    0     |     66.1      |     45.9      |   54.2   |
|    8     |     14.3      |     100.0     |   25.0   |
|    -1    |     31.5      |     47.9      |   38.0   |
|    9     |     62.5      |     100.0     |   76.9   |
|    2     |      0.0      |      0.0      |   0.0    |
|    4     |     12.5      |     33.3      |   18.2   |
|    11    |     37.5      |     100.0     |   54.5   |
|    7     |     28.6      |     66.7      |   40.0   |
|    10    |     66.7      |     80.0      |   72.7   |
|    6     |     50.0      |     75.0      |   60.0   |
|    1     |      0.0      |      0.0      |   0.0    |
|    3     |      0.0      |      0.0      |   0.0    |
|    5     |      0.0      |      0.0      |   0.0    |


Avg F1@0.010: 33.8

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    0     |     61.0      |     42.4      |   50.0   |
|    8     |     14.3      |     100.0     |   25.0   |
|    -1    |     21.9      |     33.3      |   26.4   |
|    9     |     62.5      |     100.0     |   76.9   |
|    2     |      0.0      |      0.0      |   0.0    |
|    4     |     12.5      |     33.3      |   18.2   |
|    11    |     37.5      |     100.0     |   54.5   |
|    7     |     28.6      |     66.7      |   40.0   |
|    10    |     66.7      |     80.0      |   72.7   |
|    6     |     50.0      |     75.0      |   60.0   |
|    1     |      0.0      |      0.0      |   0.0    |
|    3     |      0.0      |      0.0      |   0.0    |
|    5     |      0.0      |      0.0      |   0.0    |


Avg F1@0.100: 32.6

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    0     |     47.5      |     32.9      |   38.9   |
|    8     |     14.3      |     100.0     |   25.0   |
|    -1    |     15.1      |     22.9      |   18.2   |
|    9     |     62.5      |     100.0     |   76.9   |
|    2     |      0.0      |      0.0      |   0.0    |
|    4     |     12.5      |     33.3      |   18.2   |
|    11    |     37.5      |     100.0     |   54.5   |
|    7     |     28.6      |     66.7      |   40.0   |
|    10    |     50.0      |     60.0      |   54.5   |
|    6     |     50.0      |     75.0      |   60.0   |
|    1     |      0.0      |      0.0      |   0.0    |
|    3     |      0.0      |      0.0      |   0.0    |
|    5     |      0.0      |      0.0      |   0.0    |


Avg F1@0.250: 29.7

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    0     |     27.1      |     18.8      |   22.2   |
|    8     |     14.3      |     100.0     |   25.0   |
|    -1    |      8.2      |     12.5      |   9.9    |
|    9     |     62.5      |     100.0     |   76.9   |
|    2     |      0.0      |      0.0      |   0.0    |
|    4     |     12.5      |     33.3      |   18.2   |
|    11    |     25.0      |     66.7      |   36.4   |
|    7     |     14.3      |     33.3      |   20.0   |
|    10    |     16.7      |     20.0      |   18.2   |
|    6     |     50.0      |     75.0      |   60.0   |
|    1     |      0.0      |      0.0      |   0.0    |
|    3     |      0.0      |      0.0      |   0.0    |
|    5     |      0.0      |      0.0      |   0.0    |


Avg F1@0.500: 22.1



|Edit:26.1|Acc:30.8|
