|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    0     |     67.4      |     33.3      |   44.6   |
|    -1    |     39.0      |     84.8      |   53.4   |
|    3     |     33.3      |     100.0     |   50.0   |
|    1     |     22.2      |     100.0     |   36.4   |
|    11    |     71.4      |     83.3      |   76.9   |
|    8     |     14.3      |     16.7      |   15.4   |
|    6     |     12.5      |     100.0     |   22.2   |
|    5     |     33.3      |     40.0      |   36.4   |
|    12    |     44.4      |     100.0     |   61.5   |
|    10    |     28.6      |     66.7      |   40.0   |
|    9     |     88.9      |     88.9      |   88.9   |
|    2     |     75.0      |     37.5      |   50.0   |
|    7     |     50.0      |     40.0      |   44.4   |
|    4     |      0.0      |      0.0      |   0.0    |


Avg F1@0.000: 44.3

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    0     |     63.0      |     29.9      |   40.6   |
|    -1    |     37.0      |     82.2      |   51.0   |
|    3     |     11.1      |     100.0     |   20.0   |
|    1     |     22.2      |     100.0     |   36.4   |
|    11    |     71.4      |     83.3      |   76.9   |
|    8     |     14.3      |     16.7      |   15.4   |
|    6     |     12.5      |     100.0     |   22.2   |
|    5     |     33.3      |     40.0      |   36.4   |
|    12    |     33.3      |     100.0     |   50.0   |
|    10    |     28.6      |     66.7      |   40.0   |
|    9     |     88.9      |     88.9      |   88.9   |
|    2     |     75.0      |     37.5      |   50.0   |
|    7     |     50.0      |     40.0      |   44.4   |
|    4     |      0.0      |      0.0      |   0.0    |


Avg F1@0.010: 40.9

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    0     |     47.8      |     22.7      |   30.8   |
|    -1    |     27.0      |     60.0      |   37.2   |
|    3     |     11.1      |     100.0     |   20.0   |
|    1     |     22.2      |     100.0     |   36.4   |
|    11    |     71.4      |     83.3      |   76.9   |
|    8     |     14.3      |     16.7      |   15.4   |
|    6     |     12.5      |     100.0     |   22.2   |
|    5     |     33.3      |     40.0      |   36.4   |
|    12    |     33.3      |     100.0     |   50.0   |
|    10    |     28.6      |     66.7      |   40.0   |
|    9     |     88.9      |     88.9      |   88.9   |
|    2     |     50.0      |     25.0      |   33.3   |
|    7     |     50.0      |     40.0      |   44.4   |
|    4     |      0.0      |      0.0      |   0.0    |


Avg F1@0.100: 38.0

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    0     |     32.6      |     15.5      |   21.0   |
|    -1    |     18.0      |     40.0      |   24.8   |
|    3     |     11.1      |     100.0     |   20.0   |
|    1     |     22.2      |     100.0     |   36.4   |
|    11    |     57.1      |     66.7      |   61.5   |
|    8     |      0.0      |      0.0      |   0.0    |
|    6     |     12.5      |     100.0     |   22.2   |
|    5     |     33.3      |     40.0      |   36.4   |
|    12    |     33.3      |     100.0     |   50.0   |
|    10    |     14.3      |     33.3      |   20.0   |
|    9     |     77.8      |     77.8      |   77.8   |
|    2     |     25.0      |     12.5      |   16.7   |
|    7     |     50.0      |     40.0      |   44.4   |
|    4     |      0.0      |      0.0      |   0.0    |


Avg F1@0.250: 30.8

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    0     |     21.7      |     10.3      |   14.0   |
|    -1    |     11.0      |     24.4      |   15.2   |
|    3     |     11.1      |     100.0     |   20.0   |
|    1     |     22.2      |     100.0     |   36.4   |
|    11    |     57.1      |     66.7      |   61.5   |
|    8     |      0.0      |      0.0      |   0.0    |
|    6     |     12.5      |     100.0     |   22.2   |
|    5     |     33.3      |     40.0      |   36.4   |
|    12    |     22.2      |     66.7      |   33.3   |
|    10    |     14.3      |     33.3      |   20.0   |
|    9     |     77.8      |     77.8      |   77.8   |
|    2     |      0.0      |      0.0      |   0.0    |
|    7     |     50.0      |     40.0      |   44.4   |
|    4     |      0.0      |      0.0      |   0.0    |


Avg F1@0.500: 27.2



|Edit:38.8|Acc:38.5|
