|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    -1    |     13.0      |     90.7      |   22.8   |
|    1     |     87.9      |     100.0     |   93.5   |
|    0     |     92.2      |     69.0      |   78.9   |
|    4     |     100.0     |     100.0     |  100.0   |
|    5     |     100.0     |     100.0     |  100.0   |
|    6     |     100.0     |     100.0     |  100.0   |
|    7     |     100.0     |     100.0     |  100.0   |
|    15    |     79.3      |     100.0     |   88.5   |
|    9     |     65.2      |     100.0     |   78.9   |
|    10    |     100.0     |     94.3      |   97.1   |
|    11    |     100.0     |     100.0     |  100.0   |
|    2     |     100.0     |     84.0      |   91.3   |
|    3     |     65.2      |     83.3      |   73.2   |
|    8     |     70.0      |     77.8      |   73.7   |
|    12    |     100.0     |     100.0     |  100.0   |
|    13    |     96.4      |     100.0     |   98.2   |
|    14    |     100.0     |     100.0     |  100.0   |


Avg F1@0.000: 88.0

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    -1    |     11.0      |     89.2      |   19.5   |
|    1     |     81.8      |     100.0     |   90.0   |
|    0     |     93.4      |     66.9      |   78.0   |
|    4     |     100.0     |     100.0     |  100.0   |
|    5     |     100.0     |     100.0     |  100.0   |
|    6     |     100.0     |     100.0     |  100.0   |
|    7     |     100.0     |     100.0     |  100.0   |
|    15    |     79.3      |     100.0     |   88.5   |
|    9     |     65.2      |     100.0     |   78.9   |
|    10    |     100.0     |     94.3      |   97.1   |
|    11    |     100.0     |     100.0     |  100.0   |
|    2     |     100.0     |     80.8      |   89.4   |
|    3     |     65.2      |     83.3      |   73.2   |
|    8     |     70.0      |     77.8      |   73.7   |
|    12    |     100.0     |     100.0     |  100.0   |
|    13    |     96.4      |     100.0     |   98.2   |
|    14    |     100.0     |     100.0     |  100.0   |


Avg F1@0.010: 87.4

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    -1    |      8.0      |     65.1      |   14.2   |
|    1     |     81.8      |     100.0     |   90.0   |
|    0     |     91.9      |     65.8      |   76.7   |
|    4     |     100.0     |     100.0     |  100.0   |
|    5     |     100.0     |     100.0     |  100.0   |
|    6     |     100.0     |     100.0     |  100.0   |
|    7     |     100.0     |     100.0     |  100.0   |
|    15    |     79.3      |     100.0     |   88.5   |
|    9     |     65.2      |     100.0     |   78.9   |
|    10    |     100.0     |     94.3      |   97.1   |
|    11    |     100.0     |     100.0     |  100.0   |
|    2     |     100.0     |     80.8      |   89.4   |
|    3     |     65.2      |     83.3      |   73.2   |
|    8     |     70.0      |     77.8      |   73.7   |
|    12    |     100.0     |     100.0     |  100.0   |
|    13    |     96.4      |     100.0     |   98.2   |
|    14    |     100.0     |     100.0     |  100.0   |


Avg F1@0.100: 87.0

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    -1    |      7.3      |     59.0      |   12.9   |
|    1     |     81.8      |     100.0     |   90.0   |
|    0     |     84.5      |     60.6      |   70.6   |
|    4     |     100.0     |     100.0     |  100.0   |
|    5     |     100.0     |     100.0     |  100.0   |
|    6     |     100.0     |     100.0     |  100.0   |
|    7     |     100.0     |     100.0     |  100.0   |
|    15    |     79.3      |     100.0     |   88.5   |
|    9     |     65.2      |     100.0     |   78.9   |
|    10    |     100.0     |     94.3      |   97.1   |
|    11    |     100.0     |     100.0     |  100.0   |
|    2     |     100.0     |     80.8      |   89.4   |
|    3     |     65.2      |     83.3      |   73.2   |
|    8     |     70.0      |     77.8      |   73.7   |
|    12    |     100.0     |     100.0     |  100.0   |
|    13    |     92.9      |     96.3      |   94.5   |
|    14    |     100.0     |     100.0     |  100.0   |


Avg F1@0.250: 86.4

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    -1    |      5.3      |     43.4      |   9.5    |
|    1     |     81.8      |     100.0     |   90.0   |
|    0     |     67.8      |     48.6      |   56.6   |
|    4     |     100.0     |     100.0     |  100.0   |
|    5     |     91.4      |     91.4      |   91.4   |
|    6     |     94.3      |     94.3      |   94.3   |
|    7     |     97.1      |     97.1      |   97.1   |
|    15    |     79.3      |     100.0     |   88.5   |
|    9     |     65.2      |     100.0     |   78.9   |
|    10    |     93.9      |     88.6      |   91.2   |
|    11    |     95.7      |     95.7      |   95.7   |
|    2     |     100.0     |     80.8      |   89.4   |
|    3     |     60.9      |     77.8      |   68.3   |
|    8     |     66.7      |     74.1      |   70.2   |
|    12    |     100.0     |     100.0     |  100.0   |
|    13    |     92.9      |     96.3      |   94.5   |
|    14    |     100.0     |     100.0     |  100.0   |


Avg F1@0.500: 83.3



|Edit:88.6|Acc:78.5|
