|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    0     |     96.0      |     61.1      |   74.7   |
|    -1    |     29.5      |     75.0      |   42.3   |
|    1     |     53.6      |     100.0     |   69.8   |
|    2     |     85.2      |     100.0     |   92.0   |
|    3     |     88.9      |     100.0     |   94.1   |
|    5     |     64.5      |     83.3      |   72.7   |
|    6     |     70.6      |     100.0     |   82.8   |
|    7     |     76.7      |     100.0     |   86.8   |
|    8     |     65.7      |     100.0     |   79.3   |
|    4     |     95.8      |     100.0     |   97.9   |


Avg F1@0.000: 79.2

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    0     |     97.3      |     58.9      |   73.4   |
|    -1    |     25.9      |     69.9      |   37.8   |
|    1     |     39.3      |     100.0     |   56.4   |
|    2     |     85.2      |     100.0     |   92.0   |
|    3     |     85.2      |     100.0     |   92.0   |
|    5     |     61.3      |     82.6      |   70.4   |
|    6     |     67.6      |     100.0     |   80.7   |
|    7     |     76.7      |     100.0     |   86.8   |
|    8     |     65.7      |     100.0     |   79.3   |
|    4     |     95.8      |     100.0     |   97.9   |


Avg F1@0.010: 76.7

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    0     |     96.6      |     58.5      |   72.9   |
|    -1    |     17.9      |     48.2      |   26.1   |
|    1     |     39.3      |     100.0     |   56.4   |
|    2     |     85.2      |     100.0     |   92.0   |
|    3     |     85.2      |     100.0     |   92.0   |
|    5     |     61.3      |     82.6      |   70.4   |
|    6     |     67.6      |     100.0     |   80.7   |
|    7     |     76.7      |     100.0     |   86.8   |
|    8     |     65.7      |     100.0     |   79.3   |
|    4     |     95.8      |     100.0     |   97.9   |


Avg F1@0.100: 75.4

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    0     |     90.6      |     54.9      |   68.4   |
|    -1    |     12.9      |     34.9      |   18.9   |
|    1     |     39.3      |     100.0     |   56.4   |
|    2     |     85.2      |     100.0     |   92.0   |
|    3     |     85.2      |     100.0     |   92.0   |
|    5     |     61.3      |     82.6      |   70.4   |
|    6     |     67.6      |     100.0     |   80.7   |
|    7     |     76.7      |     100.0     |   86.8   |
|    8     |     65.7      |     100.0     |   79.3   |
|    4     |     95.8      |     100.0     |   97.9   |


Avg F1@0.250: 74.3

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    0     |     72.5      |     43.9      |   54.7   |
|    -1    |      8.0      |     21.7      |   11.7   |
|    1     |     39.3      |     100.0     |   56.4   |
|    2     |     85.2      |     100.0     |   92.0   |
|    3     |     85.2      |     100.0     |   92.0   |
|    5     |     35.5      |     47.8      |   40.7   |
|    6     |     64.7      |     95.7      |   77.2   |
|    7     |     76.7      |     100.0     |   86.8   |
|    8     |     62.9      |     95.7      |   75.9   |
|    4     |     91.7      |     95.7      |   93.6   |


Avg F1@0.500: 68.1



|Edit:69.4|Acc:64.5|
