|  Action  |Precision@0.000| Recall@0.000  | F1@0.000 |
|    -1    |     24.8      |     99.1      |   39.6   |
|    0     |     89.6      |     59.0      |   71.2   |
|    3     |     63.0      |     73.9      |   68.0   |
|    6     |     100.0     |     91.4      |   95.5   |
|    7     |     93.8      |     62.5      |   75.0   |
|    9     |     64.7      |     95.7      |   77.2   |
|    10    |     100.0     |     100.0     |  100.0   |
|    1     |     87.0      |     87.0      |   87.0   |
|    2     |     96.0      |     88.9      |   92.3   |
|    4     |     100.0     |     95.7      |   97.8   |
|    5     |     71.9      |     95.8      |   82.1   |
|    8     |     78.6      |     100.0     |   88.0   |


Avg F1@0.000: 81.1

|  Action  |Precision@0.010| Recall@0.010  | F1@0.010 |
|    -1    |     21.1      |     96.8      |   34.7   |
|    0     |     89.6      |     55.4      |   68.5   |
|    3     |     63.0      |     73.9      |   68.0   |
|    6     |     100.0     |     91.4      |   95.5   |
|    7     |     93.8      |     62.5      |   75.0   |
|    9     |     64.7      |     95.7      |   77.2   |
|    10    |     100.0     |     100.0     |  100.0   |
|    1     |     87.0      |     87.0      |   87.0   |
|    2     |     80.0      |     87.0      |   83.3   |
|    4     |     100.0     |     95.7      |   97.8   |
|    5     |     68.8      |     95.7      |   80.0   |
|    8     |     78.6      |     100.0     |   88.0   |


Avg F1@0.010: 79.6

|  Action  |Precision@0.100| Recall@0.100  | F1@0.100 |
|    -1    |     14.7      |     67.4      |   24.1   |
|    0     |     87.6      |     54.2      |   66.9   |
|    3     |     63.0      |     73.9      |   68.0   |
|    6     |     100.0     |     91.4      |   95.5   |
|    7     |     93.8      |     62.5      |   75.0   |
|    9     |     64.7      |     95.7      |   77.2   |
|    10    |     100.0     |     100.0     |  100.0   |
|    1     |     87.0      |     87.0      |   87.0   |
|    2     |     80.0      |     87.0      |   83.3   |
|    4     |     100.0     |     95.7      |   97.8   |
|    5     |     68.8      |     95.7      |   80.0   |
|    8     |     78.6      |     100.0     |   88.0   |


Avg F1@0.100: 78.6

|  Action  |Precision@0.250| Recall@0.250  | F1@0.250 |
|    -1    |     11.2      |     51.6      |   18.5   |
|    0     |     83.4      |     51.6      |   63.8   |
|    3     |     63.0      |     73.9      |   68.0   |
|    6     |     100.0     |     91.4      |   95.5   |
|    7     |     87.5      |     58.3      |   70.0   |
|    9     |     64.7      |     95.7      |   77.2   |
|    10    |     100.0     |     100.0     |  100.0   |
|    1     |     87.0      |     87.0      |   87.0   |
|    2     |     80.0      |     87.0      |   83.3   |
|    4     |     100.0     |     95.7      |   97.8   |
|    5     |     68.8      |     95.7      |   80.0   |
|    8     |     78.6      |     100.0     |   88.0   |


Avg F1@0.250: 77.4

|  Action  |Precision@0.500| Recall@0.500  | F1@0.500 |
|    -1    |      8.0      |     36.8      |   13.2   |
|    0     |     59.6      |     36.9      |   45.5   |
|    3     |     63.0      |     73.9      |   68.0   |
|    6     |     78.1      |     71.4      |   74.6   |
|    7     |     62.5      |     41.7      |   50.0   |
|    9     |     64.7      |     95.7      |   77.2   |
|    10    |     94.3      |     94.3      |   94.3   |
|    1     |     87.0      |     87.0      |   87.0   |
|    2     |     76.0      |     82.6      |   79.2   |
|    4     |     100.0     |     95.7      |   97.8   |
|    5     |     68.8      |     95.7      |   80.0   |
|    8     |     78.6      |     100.0     |   88.0   |


Avg F1@0.500: 71.2



|Edit:76.9|Acc:62.6|
