action_1_type_1_1 Using_a_teaspoon_instead_of_a_tablespoon
action_1_type_1_2 Eyeballing_the_measurement_instead_of_using_a_spoon
action_1_type_1_3 Using_a_cup_measure_instead_of_a_tablespoon
action_1_type_1_4 Measuring_oats_directly_over_the_bowl
action_1_type_1_5 Using_a_different_type_of_spoon_(e.g.,_soup_spoon)
action_1_type_1_6 Shaking_the_oats_container_over_the_bowl_instead_of_scooping
action_1_type_1_7 Using_a_digital_scale_to_weigh_out_the_equivalent_amount
action_1_type_1_8 Measuring_into_your_hand_before_transferring_to_the_bowl
action_1_type_1_9 Leveling_the_tablespoons_unevenly
action_1_type_1_10 Tapping_the_spoon_to_settle_the_oats_before_Transferring
action_2_type_1_1 Using_a_liquid_measuring_cup_but_reading_the_measurement_from_the_top_instead_of_eye_level
action_2_type_1_2 Using_a_dry_measuring_cup_instead_of_a_liquid_one
action_2_type_1_3 Filling_the_measuring_cup_over_the_sink_instead_of_the_counter
action_2_type_1_4 Scooping_water_from_a_bowl_instead_of_pouring_from_a_container
action_2_type_1_5 Using_a_larger_measuring_cup_and_estimating_the_half-cup_mark
action_2_type_1_6 Filling_the_measuring_cup_slightly_above_the_half-cup_mark_and_pouring_out_the_excess
action_2_type_1_7 Tilting_the_measuring_cup_while_filling_instead_of_keeping_it_level
action_2_type_1_8 Measuring_in_a_dimly_lit_area_and_checking_the_level_by_feel_instead_of_sight
action_2_type_1_9 Using_a_mug_with_a_known_half-cup_capacity_instead_of_a_measuring_cup
action_2_type_1_10 Filling_the_cup_with_a_spoon_instead_of_pouring_directly
action_3_type_1_1 Pouring_the_water_too_quickly_but_still_getting_it_all_into_the_bowl
action_3_type_1_2 Pouring_with_a_shaking_hand,_causing_slight_spills_outside_the_bowl
action_3_type_1_3 Using_a_spoon_to_transfer_the_water_instead_of_pouring_directly
action_3_type_1_4 Tilting_the_measuring_cup_at_an_awkward_angle
action_3_type_1_5 Using_a_funnel_to_guide_the_water_into_the_bowl
action_3_type_1_6 Holding_the_measuring_cup_too_high_above_the_bowl
action_3_type_1_7 Pouring_the_water_in_multiple_small_pours_instead_of_one_smooth_motion
action_3_type_1_8 Using_a_ladle_to_transfer_the_water_instead_of_pouring_directly
action_3_type_1_9 Pausing_mid-pour_to_adjust_grip_on_the_cup
action_3_type_1_10 Pouring_with_the_wrong_hand,_making_the_movement_less_steady
action_4_type_1_1 Holding_the_bowl_with_one_hand_instead_of_two
action_4_type_1_2 Sliding_the_bowl_into_the_microwave_instead_of_lifting_it_
action_4_type_1_3 Tilting_the_bowl_slightly_while_moving_it
action_4_type_1_4 Using_a_cloth_or_oven_mitt_to_hold_the_bowl_unnecessarily
action_4_type_1_5 Placing_the_bowl_off-center_on_the_microwave_tray
action_4_type_1_6 Opening_the_microwave_door_with_the_wrong_hand_while_holding_the_bowl_awkwardly
action_4_type_1_7 Using_a_plate_under_the_bowl_for_extra_stability
action_4_type_1_8 Turning_sideways_to_place_the_bowl_in_the_microwave_instead_of_facing_it_directly
action_4_type_1_9 Bringing_the_bowl_too_close_to_the_microwave_before_opening_the_door
action_4_type_1_10 Lifting_the_bowl_higher_than_needed_before_lowering_it_into_the_microwave
action_5_type_1_1 Pressing_the_“30-second”_quick_start_button_instead_of_manually_entering_the_time
action_5_type_1_2 Manually_entering_"3-0"_and_pressing_start_instead_of_using_a_preset_button
action_5_type_1_3 Pressing_the_start_button_with_the_wrong_finger
action_5_type_1_4 Using_the_back_of_your_hand_to_press_start_instead_of_a_finger
action_5_type_1_5 Tapping_the_button_twice_unnecessarily_before_it_starts
action_5_type_1_6 Holding_the_button_too_long_before_releasing_it
action_5_type_1_7 Using_a_knuckle_instead_of_a_fingertip_to_press_start
action_5_type_1_8 Accidentally_pressing_another_button_first,_then_correcting_it
action_5_type_1_9 Starting_the_microwave_while_looking_away_from_the_control_panel
action_5_type_1_10 Pressing_the_button_with_excessive_force
action_6_type_1_1 Using_a_cloth_or_oven_mitt_unnecessarily_to_grab_the_bowl
action_6_type_1_2 Taking_the_bowl_out_with_one_hand_instead_of_two
action_6_type_1_3 Sliding_the_bowl_out_of_the_microwave_instead_of_lifting_it
action_6_type_1_4 Holding_the_bowl_by_its_rim_instead_of_the_sides
action_6_type_1_5 Tilting_the_bowl_slightly_while_moving_it
action_6_type_1_6 Bringing_the_bowl_close_to_your_body_before_setting_it_down
action_6_type_1_7 Pausing_for_a_moment_after_removing_the_bowl_before_setting_it_down
action_6_type_1_8 Using_a_spoon_to_nudge_the_bowl_out_before_grabbing_it
action_6_type_1_9 Placing_the_bowl_on_the_table_more_forcefully_than_necessary
action_6_type_1_10 Looking_away_while_moving_the_bowl_instead_of_focusing_on_it
action_7_type_1_1 Scooping_the_raisins_with_both_hands_instead_of_one
action_7_type_1_2 Grabbing_raisins_with_slightly_wet_hands
action_7_type_1_3 Pouring_raisins_directly_from_the_container_instead_of_using_your_hand
