BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
BG|Normal
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Slip|Drop tortilla
Place tortilla on cutting board|Error_Correction|Discard tortilla and place a new one
Place tortilla on cutting board|Error_Correction|Discard tortilla and place a new one
